Loan #,Loan Type,Notional,Rate,Term,Asset,Asset Value,Dep Rate
37,Auto Loan,23172.80524,0.167030801,71,Lamborghini,20008.7311,0.102
38,Auto Loan,17126.21807,0.168574948,62,Civic,14318.65572,0.146
39,Auto Loan,21559.01519,0.199922023,66,Lexus,17556.80552,0.13
40,Auto Loan,25733.5209,0.169211355,68,Lamborghini,23715.32166,0.086
41,Auto Loan,16598.92322,0.160945351,68,Civic,12340.77521,0.131
42,Auto Loan,10325.02335,0.167862232,71,Lexus,8589.899153,0.088
43,Auto Loan,18633.04728,0.173517054,69,Lamborghini,15814.59342,0.132
44,Auto Loan,24358.92145,0.192326773,64,Civic,21420.75522,0.11
45,Auto Loan,19240.95682,0.162101489,62,Lexus,14955.00966,0.146
46,Auto Loan,16008.9382,0.130254879,64,Lamborghini,14187.23473,0.09
47,Auto Loan,24899.11551,0.166788997,52,Civic,21974.00747,0.091
48,Auto Loan,20823.07486,0.199922023,55,Lexus,18283.84333,0.086
49,Auto Loan,16846.09445,0.174919995,54,Lamborghini,13205.07531,0.138
50,Auto Loan,17571.38384,0.153637156,64,Civic,14909.71454,0.124
51,Auto Loan,15701.71478,0.164695099,68,Lexus,12870.50201,0.098
52,Auto Loan,14526.82171,0.170162081,70,Lamborghini,11960.85386,0.14
53,Auto Loan,20954.66294,0.191219498,62,Civic,18424.84176,0.107
54,Auto Loan,21213.36636,0.155690158,58,Lexus,18080.31299,0.096
55,Auto Loan,23245.33456,0.130254879,62,Lamborghini,18481.76325,0.095
56,Auto Loan,15605.4294,0.133983317,57,Civic,12836.53456,0.128
57,Auto Loan,18829.7972,0.173777422,64,Lexus,16372.37103,0.097
58,Auto Loan,9650.883347,0.130254879,50,Lamborghini,9054.73259,0.134
59,Auto Loan,21498.26743,0.162595657,64,Civic,17475.87143,0.085
60,Auto Loan,19839.9619,0.199922023,60,Lexus,17386.63027,0.112
61,Auto Loan,24486.51619,0.157684784,58,Lamborghini,20555.08702,0.081
62,Auto Loan,10927.91831,0.165104678,52,Civic,8976.128869,0.11
63,Auto Loan,18207.93335,0.168357898,54,Lexus,15755.60488,0.121
64,Auto Loan,11004.15889,0.154354635,71,Lamborghini,10048.66992,0.083
65,Auto Loan,16510.53482,0.141882421,62,Civic,12767.72391,0.14
66,Auto Loan,19020.26675,0.199922023,57,Lexus,16059.0846,0.146
67,Auto Loan,16014.44578,0.163629917,63,Lamborghini,13044.74958,0.114
68,Auto Loan,14044.88664,0.17208739,71,Civic,12021.20518,0.101
69,Auto Loan,18300.46783,0.18027195,55,Lexus,14346.44646,0.095
70,Auto Loan,15542.9004,0.157733957,53,Lamborghini,11713.51223,0.148
71,Auto Loan,17152.32876,0.199922023,58,Civic,14688.50823,0.129
72,Auto Loan,25421.89171,0.184346282,55,Lexus,22667.16835,0.126
73,Auto Loan,23827.30951,0.130254879,66,Lamborghini,19912.62675,0.13
74,Auto Loan,8152.682614,0.169083814,69,Civic,5741.45586,0.126
75,Auto Loan,16720.3154,0.137318999,71,Lexus,13274.83618,0.109
76,Auto Loan,17676.02059,0.177884351,64,Lamborghini,14108.95165,0.099
77,Auto Loan,18562.3876,0.158965649,50,Civic,14985.5541,0.086
78,Auto Loan,20128.42498,0.156507995,69,Lexus,17707.98945,0.124
79,Auto Loan,18761.55174,0.185561186,65,Lamborghini,14573.95286,0.085
80,Auto Loan,24963.92155,0.145701368,61,Civic,20608.43056,0.144
81,Auto Loan,27730.8573,0.17608116,53,Lexus,22876.94106,0.118
82,Auto Loan,19132.33293,0.159961325,59,Lamborghini,14819.60126,0.107
83,Auto Loan,8293.544038,0.169008223,60,Civic,6786.188116,0.115
84,Auto Loan,15632.30165,0.152256581,57,Lexus,12857.91064,0.084
85,Auto Loan,18222.39492,0.170794905,54,Lamborghini,15830.23827,0.141
86,Auto Loan,20521.19932,0.199922023,63,Civic,16645.42737,0.089
87,Auto Loan,12784.55368,0.170620678,57,Lexus,10355.33491,0.117
88,Auto Loan,18830.69336,0.156736795,53,Lamborghini,16101.4731,0.143
89,Auto Loan,13252.96455,0.179893499,59,Civic,10735.278,0.15
90,Auto Loan,21211.0769,0.185547737,61,Lexus,18980.20862,0.129
91,Auto Loan,16316.9782,0.177264177,56,Lamborghini,14736.15373,0.148
92,Auto Loan,20580.02385,0.185415167,60,Civic,16649.51524,0.148
93,Auto Loan,17957.01893,0.172632785,59,Lexus,15406.74044,0.094
94,Auto Loan,25064.89244,0.157689187,71,Lamborghini,22576.50632,0.1
95,Auto Loan,24871.30259,0.170685855,55,Civic,20261.95231,0.146
96,Auto Loan,11481.41718,0.182644139,62,Lexus,9487.989659,0.085
97,Auto Loan,18830.41073,0.167939287,53,Lamborghini,14429.92687,0.106
98,Auto Loan,20563.54925,0.184129452,60,Civic,16084.01481,0.127
99,Auto Loan,16445.55436,0.186764693,68,Lexus,13096.13439,0.142
100,Auto Loan,20674.04218,0.195611622,66,Lamborghini,16101.21395,0.128
101,Auto Loan,14545.29343,0.156866722,59,Civic,11415.70724,0.1
102,Auto Loan,14414.56871,0.17987223,57,Lexus,12198.8399,0.149
103,Auto Loan,14646.72586,0.161221652,52,Lamborghini,12569.95686,0.122
104,Auto Loan,20617.06959,0.130254879,57,Civic,16504.26504,0.083
105,Auto Loan,19796.76229,0.193168573,55,Lexus,15254.34192,0.143
106,Auto Loan,20462.40921,0.140613336,71,Lamborghini,18058.4591,0.143
107,Auto Loan,23384.12324,0.131986878,64,Civic,18040.43249,0.096
108,Auto Loan,17060.60455,0.181074305,63,Lexus,13471.90945,0.089
109,Auto Loan,23847.93529,0.168483744,68,Lamborghini,18764.95676,0.095
110,Auto Loan,17632.03841,0.1459395,63,Civic,15650.21464,0.117
111,Auto Loan,16973.94418,0.130254879,65,Lexus,14302.34434,0.093
112,Auto Loan,17484.14211,0.156214537,69,Lamborghini,13512.17199,0.096
113,Auto Loan,17862.45913,0.181942055,61,Civic,14849.02637,0.128
114,Auto Loan,13353.215,0.177651318,58,Lexus,11634.46719,0.126
115,Auto Loan,25166.12929,0.161633274,67,Lamborghini,19045.53113,0.087
116,Auto Loan,27624.37994,0.179606462,60,Civic,24222.21546,0.085
117,Auto Loan,21072.38597,0.18104723,57,Lexus,16974.90084,0.112
118,Auto Loan,25122.53584,0.199922023,64,Lamborghini,21163.71568,0.135
119,Auto Loan,16500.8578,0.184765976,59,Civic,13769.37752,0.096
120,Auto Loan,26789.13044,0.186488245,59,Lexus,23458.7188,0.118
121,Auto Loan,17552.58858,0.162486156,64,Lamborghini,14038.57041,0.086
122,Auto Loan,21701.71354,0.173110062,53,Civic,18040.15667,0.116
123,Auto Loan,17060.77238,0.134333755,58,Lexus,14252.45359,0.09
124,Auto Loan,26332.5483,0.14742895,61,Lamborghini,22482.37849,0.085
125,Auto Loan,19618.97467,0.174646382,50,Civic,15222.06258,0.116
126,Auto Loan,27233.17855,0.153126298,68,Lexus,22606.24594,0.083
127,Auto Loan,16295.34183,0.189120635,57,Lamborghini,13505.09024,0.132
128,Auto Loan,17535.37581,0.132029589,53,Civic,13969.98764,0.115
129,Auto Loan,26096.9691,0.154251852,64,Lexus,21523.60777,0.142
130,Auto Loan,14507.97199,0.178355624,54,Lamborghini,11260.98446,0.095
131,Auto Loan,24809.30986,0.16652859,55,Civic,19299.37425,0.08
132,Auto Loan,14622.90857,0.19278056,58,Lexus,11280.18891,0.135
133,Auto Loan,15332.85018,0.162747504,62,Lamborghini,13031.6766,0.106
134,Auto Loan,18955.82934,0.158354732,63,Civic,15131.44325,0.089
135,Auto Loan,17911.91758,0.175079467,54,Lexus,14707.13204,0.096
136,Auto Loan,16718.07265,0.181429946,50,Lamborghini,15950.88839,0.085
137,Auto Loan,22892.76714,0.193080449,57,Civic,18775.48882,0.13
138,Auto Loan,14557.35487,0.193011029,55,Lexus,11132.29086,0.088
139,Auto Loan,28364.11112,0.132662659,52,Lamborghini,23806.9887,0.115
140,Auto Loan,22552.01047,0.17448885,50,Civic,19286.00255,0.087
141,Auto Loan,14648.80219,0.197186558,54,Lexus,12223.49481,0.093
142,Auto Loan,12340.03651,0.156455143,71,Lamborghini,10178.33988,0.128
143,Auto Loan,15753.51297,0.199922023,71,Civic,14580.41847,0.144
144,Auto Loan,15762.57303,0.191009182,54,Lexus,12943.63557,0.111
145,Auto Loan,21432.29885,0.175625562,53,Lamborghini,17804.03866,0.112
146,Auto Loan,13652.15831,0.139186394,51,Civic,10650.32768,0.115
147,Auto Loan,12104.75065,0.180859905,57,Lexus,10424.67433,0.106
148,Auto Loan,19265.49803,0.188317838,60,Lamborghini,16457.28394,0.131
149,Auto Loan,17406.49894,0.199922023,56,Civic,14942.8127,0.111
150,Auto Loan,15572.20053,0.181888928,66,Lexus,11530.20768,0.103
151,Auto Loan,15658.339,0.146370529,62,Lamborghini,12762.18385,0.111
152,Auto Loan,8904.175578,0.148522824,53,Civic,7731.4283,0.15
153,Auto Loan,21434.46929,0.162763429,64,Lexus,17209.3365,0.15
154,Auto Loan,22260.04802,0.157631602,66,Lamborghini,19294.89824,0.139
155,Auto Loan,18431.6796,0.147346742,56,Civic,14797.8938,0.135
156,Auto Loan,13424.22387,0.154699672,54,Lexus,9419.747858,0.104
157,Auto Loan,20574.05277,0.199648644,65,Lamborghini,16907.22544,0.124
158,Auto Loan,23493.76009,0.192097526,57,Civic,18375.52728,0.146
159,Auto Loan,18268.51102,0.185137742,63,Lexus,14724.20175,0.11
160,Auto Loan,24298.17064,0.148283455,60,Lamborghini,20412.57361,0.142
161,Auto Loan,12777.51109,0.182221449,60,Civic,9271.619458,0.106
162,Auto Loan,21330.4102,0.186027932,51,Lexus,16151.33016,0.138
163,Auto Loan,24860.00245,0.163246128,71,Lamborghini,19911.52673,0.103
164,Auto Loan,15006.02092,0.138936289,63,Civic,11762.69908,0.124
165,Auto Loan,15511.1768,0.14254731,67,Lexus,11690.5718,0.101
166,Auto Loan,14728.66068,0.199922023,57,Lamborghini,11855.62451,0.122
167,Auto Loan,15710.59658,0.176782073,67,Civic,12814.60302,0.114
168,Auto Loan,20768.73754,0.168383792,50,Lexus,18121.00042,0.144
169,Auto Loan,15759.28784,0.198633627,51,Lamborghini,14574.20062,0.106
170,Auto Loan,24210.15653,0.176395055,60,Civic,18403.75737,0.08
171,Auto Loan,20662.9501,0.154696408,62,Lexus,16956.83022,0.113
172,Auto Loan,17887.39258,0.162571263,67,Lamborghini,15141.47888,0.088
173,Auto Loan,22525.67879,0.166697199,57,Civic,18885.00122,0.092
174,Auto Loan,30262.79201,0.15757532,59,Lexus,25517.42531,0.113
175,Auto Loan,14336.2887,0.151173481,68,Lamborghini,12045.64593,0.08
176,Auto Loan,24321.9814,0.156474292,68,Civic,20028.43594,0.119
177,Auto Loan,18055.75101,0.178982656,62,Lexus,15795.74377,0.111
178,Auto Loan,23014.1851,0.170707207,56,Lamborghini,19076.8165,0.094
179,Auto Loan,7978.891844,0.165509971,68,Civic,6206.667151,0.144
180,Auto Loan,23872.7857,0.199218617,68,Lexus,19070.30436,0.11
181,Auto Loan,13509.77445,0.149844501,71,Lamborghini,11182.72365,0.098
182,Auto Loan,16637.47879,0.1705489,58,Civic,14415.32001,0.136
183,Auto Loan,17770.9242,0.180298171,71,Lexus,13435.563,0.13
184,Auto Loan,21196.68961,0.147774959,53,Lamborghini,18363.40604,0.093
185,Auto Loan,17489.55001,0.192551975,71,Civic,14653.71356,0.129
186,Auto Loan,22388.92299,0.199922023,54,Lexus,18941.4377,0.092
187,Auto Loan,11479.32914,0.178303742,60,Lamborghini,8658.337826,0.129
188,Auto Loan,23206.98828,0.174197233,56,Civic,19437.5856,0.085
189,Auto Loan,17532.30428,0.162361289,51,Lexus,14476.51048,0.088
190,Auto Loan,25097.32992,0.171091061,52,Lamborghini,21914.37533,0.083
191,Auto Loan,17912.24549,0.160190112,56,Civic,14422.61793,0.1
192,Auto Loan,15601.79606,0.185468667,61,Lexus,13450.74469,0.104
193,Auto Loan,18081.0678,0.140646778,58,Lamborghini,15301.39286,0.102
194,Auto Loan,27788.55849,0.199221832,57,Civic,23401.75275,0.109
195,Auto Loan,16180.95049,0.164157215,52,Lexus,13614.66622,0.094
196,Auto Loan,24930.91877,0.153137277,69,Lamborghini,20920.45475,0.137
197,Auto Loan,21193.4834,0.175863754,63,Civic,18043.22919,0.1
198,Auto Loan,9448.091119,0.149722521,66,Lexus,7395.397955,0.104
199,Auto Loan,11821.72282,0.168424239,66,Lamborghini,11301.80658,0.116
200,Auto Loan,19350.91603,0.15217085,68,Civic,16583.12705,0.095
201,Auto Loan,15228.76797,0.188807496,59,Lexus,12728.63427,0.108
202,Auto Loan,20909.83694,0.189528733,61,Lamborghini,18570.38729,0.138
203,Auto Loan,22731.16913,0.17023148,62,Civic,19695.16926,0.125
204,Auto Loan,11652.54611,0.155577746,68,Lexus,10607.74674,0.097
205,Auto Loan,17280.61725,0.164427482,64,Lamborghini,14498.88692,0.148
206,Auto Loan,18008.47044,0.191418401,61,Civic,13832.21555,0.096
207,Auto Loan,12545.23482,0.170295625,52,Lexus,9039.804376,0.147
208,Auto Loan,20503.81113,0.170798004,68,Lamborghini,17476.02985,0.081
209,Auto Loan,16452.8775,0.162356456,50,Civic,13795.68914,0.149
210,Auto Loan,15179.71425,0.199922023,61,Lexus,13005.18452,0.12
211,Auto Loan,23140.51602,0.195536015,52,Lamborghini,19934.03527,0.099
212,Auto Loan,14456.01534,0.169899521,57,Civic,12947.03987,0.133
213,Auto Loan,20111.52917,0.17304793,70,Lexus,15651.66147,0.11
214,Auto Loan,32190.19386,0.171726644,59,Lamborghini,28012.8488,0.084
215,Auto Loan,19764.69989,0.193883037,58,Civic,15485.91005,0.139
216,Auto Loan,17896.47338,0.146246509,66,Lexus,15254.4419,0.115
217,Auto Loan,25964.92605,0.184551818,71,Lamborghini,21672.07686,0.142
218,Auto Loan,18527.82133,0.141266065,58,Civic,14431.50253,0.115
219,Auto Loan,21030.11938,0.138657063,64,Lexus,16981.73131,0.137
220,Auto Loan,16375.17799,0.164176476,60,Lamborghini,11909.49805,0.09
221,Auto Loan,20703.80963,0.192776415,61,Civic,15913.70039,0.143
222,Auto Loan,13349.2224,0.176405377,62,Lexus,11840.27698,0.131
223,Auto Loan,28355.86192,0.171446427,56,Lamborghini,23454.91734,0.097
224,Auto Loan,19544.37616,0.149503007,63,Civic,15500.05502,0.087
225,Auto Loan,17570.51689,0.190704325,50,Lexus,13904.07542,0.147
226,Auto Loan,15327.83985,0.151767322,59,Lamborghini,11861.97297,0.135
227,Auto Loan,17916.44402,0.17795547,62,Civic,13932.15174,0.135
228,Auto Loan,20372.80503,0.183535129,54,Lexus,17411.15939,0.095
229,Auto Loan,29514.19373,0.158908795,71,Lamborghini,23498.54467,0.087
230,Auto Loan,14328.60377,0.16647345,63,Civic,12343.60369,0.129
231,Auto Loan,21070.37395,0.15244683,56,Lexus,17814.98773,0.141
232,Auto Loan,17832.69423,0.156525332,63,Lamborghini,14539.15037,0.145
233,Auto Loan,12824.91728,0.167606736,52,Civic,10609.08591,0.146
234,Auto Loan,27007.96658,0.189836057,56,Lexus,22338.19485,0.136
235,Auto Loan,21408.43863,0.175905757,63,Lamborghini,16769.86171,0.118
236,Auto Loan,24474.98704,0.158503197,62,Civic,20640.85333,0.099
237,Auto Loan,4230.083914,0.172696049,56,Lexus,2922.604498,0.081
238,Auto Loan,28759.46288,0.198028711,50,Lamborghini,23687.19856,0.129
239,Auto Loan,22491.86437,0.167376077,56,Civic,18173.27625,0.083
240,Auto Loan,12258.54696,0.173643357,50,Lexus,10065.00494,0.106
241,Auto Loan,12482.16135,0.184312753,71,Lamborghini,10830.15261,0.132
242,Auto Loan,15418.82233,0.1432433,54,Civic,12273.07233,0.15
243,Auto Loan,20110.31172,0.137620858,63,Lexus,16487.26756,0.092
244,Auto Loan,22330.56682,0.175082868,60,Lamborghini,17380.36517,0.117
245,Auto Loan,25244.39106,0.143154243,59,Civic,21140.00998,0.092
246,Auto Loan,17655.80193,0.130254879,56,Lexus,14509.44982,0.134
247,Auto Loan,20576.6401,0.144862449,53,Lamborghini,17380.93184,0.135
248,Auto Loan,19270.61722,0.190367904,53,Civic,16889.29588,0.13
249,Auto Loan,22956.13131,0.132871487,71,Lexus,18971.35616,0.111
250,Auto Loan,22114.35147,0.158877243,68,Lamborghini,17922.60351,0.127
251,Auto Loan,18632.65281,0.158720368,58,Civic,14409.78548,0.122
252,Auto Loan,14354.29527,0.153019478,54,Lexus,11392.87342,0.13
253,Auto Loan,12299.93531,0.147987716,61,Lamborghini,10150.37567,0.135
254,Auto Loan,10632.53106,0.162796573,60,Civic,10674.82522,0.126
255,Auto Loan,11311.55136,0.188006229,60,Lexus,9608.711748,0.114
256,Auto Loan,16489.61797,0.172700021,54,Lamborghini,12892.22344,0.148
257,Auto Loan,13417.08573,0.191171776,63,Civic,11736.55148,0.114
258,Auto Loan,19834.61736,0.199922023,65,Lexus,16199.84352,0.105
259,Auto Loan,20441.12052,0.17341321,61,Lamborghini,18349.09516,0.13
260,Auto Loan,19656.69561,0.169019505,63,Civic,14875.84851,0.123
261,Auto Loan,21764.2926,0.174967962,54,Lexus,18739.1074,0.114
262,Auto Loan,10718.57007,0.132107918,51,Lamborghini,8138.481879,0.109
263,Auto Loan,24842.64016,0.16856919,65,Civic,18874.11921,0.117
264,Auto Loan,19524.29126,0.186480507,62,Lexus,16702.58911,0.105
265,Auto Loan,23059.43166,0.176034399,66,Lamborghini,18692.96583,0.13
266,Auto Loan,20110.55173,0.165685075,70,Civic,16281.42396,0.096
267,Auto Loan,12698.90754,0.164783991,68,Lexus,12277.49989,0.115
268,Auto Loan,5689.114135,0.150489008,54,Lamborghini,5148.075039,0.097
269,Auto Loan,20730.86105,0.193578408,67,Civic,17198.37017,0.082
270,Auto Loan,19014.49876,0.199922023,71,Lexus,15866.52639,0.107
271,Auto Loan,28256.31854,0.195457227,65,Lamborghini,23871.65327,0.149
272,Auto Loan,18602.31968,0.162231928,71,Civic,15203.9321,0.137
273,Auto Loan,14970.21374,0.15668958,57,Lexus,11873.76735,0.116
274,Auto Loan,21468.21424,0.176879306,65,Lamborghini,19225.70295,0.129
275,Auto Loan,17142.63743,0.185243271,61,Civic,16495.76049,0.147
276,Auto Loan,23242.35069,0.148312526,63,Lexus,19176.58702,0.123
277,Auto Loan,16668.44098,0.198646747,61,Lamborghini,13364.58539,0.105
278,Auto Loan,15159.15992,0.151569054,54,Civic,11778.84431,0.098
279,Auto Loan,22601.80882,0.178198647,67,Lexus,18991.95647,0.144
280,Auto Loan,17598.75175,0.184448189,52,Lamborghini,15221.20108,0.108
281,Auto Loan,22345.09022,0.173511387,52,Civic,18130.73318,0.126
282,Auto Loan,14401.14671,0.188711377,53,Lexus,11029.43802,0.142
283,Auto Loan,19128.04818,0.130254879,64,Lamborghini,14748.47387,0.134
284,Auto Loan,22197.26302,0.172664146,59,Civic,17254.89678,0.126
285,Auto Loan,24002.76131,0.185682838,71,Lexus,20090.03493,0.144
286,Auto Loan,13845.26161,0.15494546,60,Lamborghini,10211.06532,0.135
287,Auto Loan,23519.32211,0.196499407,60,Civic,21188.31179,0.12
288,Auto Loan,19557.63853,0.168864278,51,Lexus,15836.45763,0.117
289,Auto Loan,16701.98712,0.152472589,59,Lamborghini,13811.28053,0.126
290,Auto Loan,8235.843536,0.199922023,68,Civic,7189.477524,0.12
291,Auto Loan,18769.67078,0.198471356,58,Lexus,15007.51025,0.084
292,Auto Loan,20531.66219,0.179198866,60,Lamborghini,16685.0203,0.116
293,Auto Loan,23558.83976,0.153201347,66,Civic,19643.5918,0.134
294,Auto Loan,19095.51964,0.199922023,53,Lexus,16858.33249,0.118
295,Auto Loan,20990.41918,0.188828621,65,Lamborghini,17186.42579,0.108
296,Auto Loan,12822.1347,0.168311962,60,Civic,10774.11662,0.1
297,Auto Loan,21005.00602,0.144492967,57,Lexus,17430.00307,0.092
298,Auto Loan,16872.11079,0.162007241,64,Lamborghini,14970.95218,0.084
299,Auto Loan,20497.89707,0.173352168,54,Civic,17660.99735,0.107
300,Auto Loan,14722.42778,0.167703392,56,Lexus,13310.72549,0.118
301,Auto Loan,28002.40532,0.181745816,53,Lamborghini,24314.2112,0.136
302,Auto Loan,11646.12516,0.167093399,58,Civic,8896.208309,0.125
303,Auto Loan,18619.53583,0.162899706,66,Lexus,15278.04355,0.084
304,Auto Loan,19139.10421,0.181738787,51,Lamborghini,15070.57333,0.135
305,Auto Loan,17059.62717,0.171401398,53,Civic,13467.64861,0.137
306,Auto Loan,13554.25978,0.199337614,58,Lexus,10544.12598,0.098
307,Auto Loan,24300.03752,0.171782826,60,Lamborghini,19890.52646,0.105
308,Auto Loan,28384.29895,0.188817642,61,Civic,23438.72873,0.081
309,Auto Loan,28871.40397,0.152173664,55,Lexus,24751.54889,0.081
310,Auto Loan,23302.90926,0.150051006,59,Lamborghini,19690.30242,0.11
311,Auto Loan,19686.69597,0.146861648,69,Civic,18188.06254,0.137
312,Auto Loan,9632.298593,0.187563852,59,Lexus,7393.397242,0.105
313,Auto Loan,15259.14083,0.198716274,63,Lamborghini,12637.67203,0.096
314,Auto Loan,13960.44852,0.145307514,60,Civic,11870.97113,0.15
315,Auto Loan,18683.0646,0.132068648,50,Lexus,15297.21388,0.08
316,Auto Loan,18048.51653,0.167425461,71,Lamborghini,15391.41238,0.081
317,Auto Loan,16144.3536,0.138860134,62,Civic,13298.34648,0.11
318,Auto Loan,21166.32201,0.17474366,55,Lexus,16783.82555,0.129
319,Auto Loan,15880.59569,0.14258998,60,Lamborghini,11911.08152,0.099
320,Auto Loan,17160.01812,0.145179891,52,Civic,13255.67154,0.117
321,Auto Loan,28682.79437,0.157477225,50,Lexus,23582.89542,0.083
322,Auto Loan,14838.29006,0.174260472,65,Lamborghini,12703.72801,0.111
323,Auto Loan,17202.37571,0.199922023,68,Civic,14769.19091,0.139
324,Auto Loan,19894.09284,0.132822624,63,Lexus,16682.95167,0.084
325,Auto Loan,22412.05036,0.177678869,55,Lamborghini,17605.81299,0.14
326,Auto Loan,19691.51022,0.155513955,64,Civic,15856.34737,0.146
327,Auto Loan,14539.61463,0.158026247,71,Lexus,12364.22951,0.1
328,Auto Loan,15936.51487,0.16926169,57,Lamborghini,13256.87851,0.122
329,Auto Loan,22494.08616,0.148992641,71,Civic,18945.08697,0.128
330,Auto Loan,23404.82004,0.161974085,61,Lexus,20059.01358,0.088
331,Auto Loan,23316.46313,0.176857911,56,Lamborghini,19046.23515,0.142
332,Auto Loan,24409.046,0.177878117,71,Civic,20640.64163,0.086
333,Auto Loan,14015.70123,0.147086981,52,Lexus,11294.26083,0.105
334,Auto Loan,27687.18067,0.164600061,57,Lamborghini,25018.96048,0.089
335,Auto Loan,5459.871427,0.159883157,69,Civic,4940.371389,0.144
336,Auto Loan,13519.49505,0.131204183,62,Lexus,10730.04425,0.149
337,Auto Loan,12979.20091,0.166695096,61,Lamborghini,10798.87446,0.098
338,Auto Loan,20771.58187,0.154811863,58,Civic,17025.32926,0.13
339,Auto Loan,18055.37213,0.154023072,53,Lexus,14865.33554,0.143
340,Auto Loan,14881.3681,0.159312087,60,Lamborghini,11397.05233,0.084
341,Auto Loan,17920.4686,0.150981952,50,Civic,13795.73591,0.108
342,Auto Loan,22225.2943,0.184696112,52,Lexus,19643.05356,0.089
343,Auto Loan,16386.26302,0.166288516,61,Lamborghini,13504.97158,0.146
344,Auto Loan,14482.40245,0.159590898,65,Civic,11415.31912,0.086
345,Auto Loan,20415.13192,0.171515939,64,Lexus,17094.29806,0.119
346,Auto Loan,19090.14079,0.145455024,61,Lamborghini,14746.54964,0.126
347,Auto Loan,20810.39154,0.169411867,58,Civic,16781.88994,0.081
348,Auto Loan,24318.48074,0.137244459,65,Lexus,20088.30449,0.099
349,Auto Loan,24877.1298,0.153894854,58,Lamborghini,20653.83817,0.093
350,Auto Loan,16864.21608,0.135294158,60,Civic,15006.49633,0.12
351,Auto Loan,18983.80191,0.162230613,60,Lexus,16285.53923,0.092
352,Auto Loan,23285.66798,0.199922023,68,Lamborghini,18860.2067,0.096
353,Auto Loan,19688.27247,0.170978594,55,Civic,15895.81963,0.147
354,Auto Loan,16749.75614,0.183718495,66,Lexus,13970.14678,0.107
355,Auto Loan,7628.527954,0.16848271,61,Lamborghini,7555.500525,0.127
356,Auto Loan,18584.02575,0.1542938,61,Civic,14898.9793,0.095
357,Auto Loan,13858.52205,0.161408993,65,Lexus,11417.15542,0.082
358,Auto Loan,18157.61968,0.154547833,51,Lamborghini,14946.31106,0.128
359,Auto Loan,22241.73662,0.153830618,64,Civic,18884.01906,0.11
360,Auto Loan,20085.50547,0.163231499,63,Lexus,17306.38106,0.082
361,Auto Loan,23112.42572,0.17933018,55,Lamborghini,18922.60362,0.093
362,Auto Loan,21096.99533,0.14881404,63,Civic,17883.35679,0.139
363,Auto Loan,13902.31246,0.176207328,55,Lexus,11473.0273,0.111
